Company,Date,Time
comcast-xfinity,04/30/2020,11:32 a.m.
comcast-xfinity,04/30/2020,1:32 a.m.
comcast-xfinity,04/29/2020,3:24 a.m.
comcast-xfinity,04/28/2020,1:32 a.m.
comcast-xfinity,04/27/2020,3:32 a.m.
comcast-xfinity,04/24/2020,1:12 a.m.
comcast-xfinity,04/22/2020,8:44 p.m.
comcast-xfinity,04/21/2020,10:20 p.m.
comcast-xfinity,04/21/2020,12:16 p.m.
comcast-xfinity,04/21/2020,2:16 a.m.
comcast-xfinity,04/20/2020,4:12 p.m.
comcast-xfinity,04/20/2020,3:08 a.m.
comcast-xfinity,04/18/2020,10:48 p.m.
comcast-xfinity,04/17/2020,1:36 a.m.
comcast-xfinity,04/16/2020,1:16 a.m.
comcast-xfinity,04/15/2020,1:28 a.m.
comcast-xfinity,04/14/2020,6:40 a.m.
comcast-xfinity,04/13/2020,8:40 p.m.
comcast-xfinity,04/13/2020,2:08 a.m.
comcast-xfinity,04/10/2020,12:44 a.m.
comcast-xfinity,04/09/2020,12:48 a.m.
comcast-xfinity,04/08/2020,2:20 p.m.
comcast-xfinity,04/08/2020,1:44 a.m.
comcast-xfinity,04/07/2020,3:44 p.m.
comcast-xfinity,04/07/2020,1:20 a.m.
comcast-xfinity,04/05/2020,10:32 p.m.
comcast-xfinity,04/05/2020,12:32 p.m.
comcast-xfinity,04/05/2020,2:32 a.m.
comcast-xfinity,04/04/2020,3 a.m.
comcast-xfinity,04/03/2020,3:56 p.m.
comcast-xfinity,04/03/2020,1:40 a.m.
comcast-xfinity,04/02/2020,1:24 a.m.
comcast-xfinity,04/01/2020,noon
comcast-xfinity,04/01/2020,12:48 a.m.
