Company,Date,Time
comcast-xfinity,09/30/2019,6:56 p.m.
comcast-xfinity,09/28/2019,8:08 p.m.
comcast-xfinity,09/27/2019,9:52 p.m.
comcast-xfinity,09/27/2019,11:36 a.m.
comcast-xfinity,09/26/2019,9:48 p.m.
comcast-xfinity,09/26/2019,11:36 a.m.
comcast-xfinity,09/25/2019,9:24 p.m.
comcast-xfinity,09/24/2019,9:24 p.m.
comcast-xfinity,09/24/2019,2:32 a.m.
comcast-xfinity,09/23/2019,3:56 p.m.
comcast-xfinity,09/23/2019,4:20 a.m.
comcast-xfinity,09/19/2019,9:48 p.m.
comcast-xfinity,09/19/2019,1:28 a.m.
comcast-xfinity,09/18/2019,12:20 a.m.
comcast-xfinity,09/17/2019,2:48 a.m.
comcast-xfinity,09/16/2019,4:44 p.m.
comcast-xfinity,09/13/2019,10:04 p.m.
comcast-xfinity,09/13/2019,4:24 a.m.
comcast-xfinity,09/12/2019,4:28 p.m.
comcast-xfinity,09/11/2019,9:24 p.m.
comcast-xfinity,09/11/2019,11:20 a.m.
comcast-xfinity,09/10/2019,8:48 p.m.
comcast-xfinity,09/10/2019,12:12 a.m.
comcast-xfinity,09/07/2019,11:12 p.m.
comcast-xfinity,09/06/2019,8:04 p.m.
comcast-xfinity,09/06/2019,1 a.m.
comcast-xfinity,09/05/2019,1:56 p.m.
comcast-xfinity,09/05/2019,2:48 a.m.
comcast-xfinity,09/04/2019,4:48 p.m.
comcast-xfinity,09/03/2019,7:32 p.m.
