Company,Date,Time
spectrum,07/31/2019,9:09 p.m.
spectrum,07/30/2019,8:25 p.m.
spectrum,07/29/2019,8:54 p.m.
spectrum,07/28/2019,9:46 p.m.
spectrum,07/26/2019,9:30 p.m.
spectrum,07/25/2019,8:58 p.m.
spectrum,07/24/2019,9:18 p.m.
spectrum,07/23/2019,9:02 p.m.
spectrum,07/22/2019,7:30 p.m.
spectrum,07/21/2019,7:18 p.m.
spectrum,07/21/2019,9:14 a.m.
spectrum,07/20/2019,10:46 p.m.
spectrum,07/20/2019,12:42 p.m.
spectrum,07/19/2019,9:10 p.m.
spectrum,07/18/2019,8:22 p.m.
spectrum,07/18/2019,12:14 a.m.
spectrum,07/17/2019,1:42 p.m.
spectrum,07/16/2019,8:30 p.m.
spectrum,07/16/2019,1:26 a.m.
spectrum,07/15/2019,3:22 p.m.
spectrum,07/14/2019,9:02 p.m.
spectrum,07/13/2019,9:30 p.m.
spectrum,07/12/2019,9:34 p.m.
spectrum,07/11/2019,8:06 p.m.
spectrum,07/11/2019,10:06 a.m.
spectrum,07/11/2019,12:06 a.m.
spectrum,07/10/2019,2:02 p.m.
spectrum,07/10/2019,2:10 a.m.
spectrum,07/09/2019,4:10 p.m.
spectrum,07/09/2019,3:54 a.m.
spectrum,07/08/2019,5:50 p.m.
spectrum,07/07/2019,9:42 p.m.
spectrum,07/06/2019,8:22 p.m.
spectrum,07/05/2019,9:18 p.m.
spectrum,07/04/2019,6:22 p.m.
spectrum,07/03/2019,9:18 p.m.
spectrum,07/03/2019,11:14 a.m.
spectrum,07/02/2019,11:02 p.m.
spectrum,07/02/2019,12:58 p.m.
spectrum,07/02/2019,2:30 a.m.
spectrum,07/01/2019,4:14 p.m.
spectrum,07/01/2019,1:14 a.m.
