Company,Date,Time
spectrum,10/30/2019,10:02 p.m.
spectrum,10/29/2019,1:18 a.m.
spectrum,10/28/2019,2:46 a.m.
spectrum,10/25/2019,12:46 a.m.
spectrum,10/24/2019,12:34 a.m.
spectrum,10/22/2019,8:46 p.m.
spectrum,10/22/2019,12:30 a.m.
spectrum,10/21/2019,1:30 a.m.
spectrum,10/18/2019,9:34 p.m.
spectrum,10/18/2019,12:46 a.m.
spectrum,10/17/2019,12:26 a.m.
spectrum,10/16/2019,12:34 a.m.
spectrum,10/14/2019,10:46 p.m.
spectrum,10/14/2019,1:30 a.m.
spectrum,10/12/2019,2:26 a.m.
spectrum,10/11/2019,10:34 a.m.
spectrum,10/11/2019,12:30 a.m.
spectrum,10/09/2019,11:42 p.m.
spectrum,10/08/2019,7:06 p.m.
spectrum,10/08/2019,1:46 a.m.
spectrum,10/04/2019,12:18 a.m.
spectrum,10/03/2019,12:18 a.m.
spectrum,10/02/2019,12:30 a.m.
spectrum,10/01/2019,12:18 a.m.
