Company,Date,Time
spectrum,05/31/2019,9:14 p.m.
spectrum,05/30/2019,8:54 p.m.
spectrum,05/29/2019,7:34 p.m.
spectrum,05/29/2019,12:22 a.m.
spectrum,05/28/2019,1:46 p.m.
spectrum,05/27/2019,9:22 p.m.
spectrum,05/26/2019,9:46 p.m.
spectrum,05/24/2019,9:54 p.m.
spectrum,05/23/2019,9:14 p.m.
spectrum,05/22/2019,8:30 p.m.
spectrum,05/22/2019,10:26 a.m.
spectrum,05/21/2019,8:42 p.m.
spectrum,05/20/2019,8:18 p.m.
spectrum,05/20/2019,1:18 a.m.
spectrum,05/19/2019,3:14 p.m.
spectrum,05/19/2019,2:22 a.m.
spectrum,05/18/2019,4:14 p.m.
spectrum,05/17/2019,9:46 p.m.
spectrum,05/16/2019,9:10 p.m.
spectrum,05/15/2019,9:30 p.m.
spectrum,05/14/2019,9:26 p.m.
spectrum,05/13/2019,8:18 p.m.
spectrum,05/12/2019,9:18 p.m.
spectrum,05/11/2019,9:38 p.m.
spectrum,05/10/2019,9:26 p.m.
spectrum,05/09/2019,9:34 p.m.
spectrum,05/09/2019,11:34 a.m.
spectrum,05/09/2019,12:30 a.m.
spectrum,05/08/2019,1:42 p.m.
spectrum,05/07/2019,9:38 p.m.
spectrum,05/06/2019,9:46 p.m.
spectrum,05/06/2019,3:10 a.m.
spectrum,05/03/2019,1:18 a.m.
spectrum,05/02/2019,9:38 a.m.
spectrum,05/01/2019,1:14 a.m.
