DateTime,Users,In-Game
8/5/2019 0:00,14716065,4326171
8/6/2019 0:00,14714391,4300794
8/7/2019 0:00,14304685,4186968
8/8/2019 0:00,14419509,4252675
8/9/2019 0:00,14738366,4431721
8/10/2019 0:00,15488063,4809155
8/11/2019 0:00,15729947,4861924
8/12/2019 0:00,14739774,4355189
8/13/2019 0:00,14627716,4341302
8/14/2019 0:00,14483540,4356635
8/15/2019 0:00,14483507,4301722
8/16/2019 0:00,14598189,4427118
8/17/2019 0:00,15418339,4791494
8/18/2019 0:00,15852877,4923539
8/19/2019 0:00,14648965,4303990
8/20/2019 0:00,14580838,4233802
8/21/2019 0:00,14493751,4206216
8/22/2019 0:00,14392967,4152056
8/23/2019 0:00,14646667,4278659
8/24/2019 0:00,15570955,4761584
8/25/2019 0:00,15991266,4897141
8/26/2019 0:00,14851054,4330747
8/27/2019 0:00,14602673,4191667
8/28/2019 0:00,14546758,4125634
8/29/2019 0:00,14545309,4110479
8/30/2019 0:00,14982946,4335598
8/31/2019 0:00,15879182,4697707
9/1/2019 0:00,16095924,4731993
9/2/2019 0:00,14826260,4158538
9/3/2019 0:00,14220687,3898503
9/4/2019 0:00,14152771,3872362
9/5/2019 0:00,14057677,3800426
9/6/2019 0:00,14649866,4188365
9/7/2019 0:00,16276440,4856290
9/8/2019 0:00,16436372,4829841
9/9/2019 0:00,14276248,3907668
9/10/2019 0:00,14127637,3862137
9/11/2019 0:00,14184593,3845257
9/12/2019 0:00,14169294,4013979
9/13/2019 0:00,14266945,4153988
9/14/2019 0:00,15746972,4665079
9/15/2019 0:00,16217090,4742133
9/16/2019 0:00,13982082,3804451
9/17/2019 0:00,13777036,3794881
9/18/2019 0:00,13942365,3809181
9/19/2019 0:00,13892205,3787700
9/20/2019 0:00,14559736,4228142
9/21/2019 0:00,16197610,4815441
9/22/2019 0:00,16475314,4747224
9/23/2019 0:00,14026320,3795868
9/24/2019 0:00,13974943,3786183
9/25/2019 0:00,13862848,3745847
9/26/2019 0:00,13939438,3762897
9/27/2019 0:00,14549373,4135874
9/28/2019 0:00,16050082,4661433
9/29/2019 0:00,16543926,4832909
9/30/2019 0:00,14438222,3937633
10/1/2019 0:00,14279343,3817856
10/2/2019 0:00,14443649,3960694
10/3/2019 0:00,14349236,4039549
10/4/2019 0:00,14622487,4223854
10/5/2019 0:00,16092849,4857896
10/6/2019 0:00,16828846,5065579
10/7/2019 0:00,14046486,3851261
10/8/2019 0:00,14114969,3867172
10/9/2019 0:00,14186944,3908823
10/10/2019 0:00,13872900,3817488
10/11/2019 0:00,14479165,4161006
10/12/2019 0:00,16284096,4950281
10/13/2019 0:00,16500474,4881470
10/14/2019 0:00,14356751,3936842
10/15/2019 0:00,13983794,3660916
10/16/2019 0:00,13961716,3686587
10/17/2019 0:00,13823282,3707809
10/18/2019 0:00,14660918,4120634
10/19/2019 0:00,16350886,4798173
10/20/2019 0:00,16584078,4779901
10/21/2019 0:00,14168384,3811567
10/22/2019 0:00,14083985,3745705
10/23/2019 0:00,14266386,3838980
10/24/2019 0:00,14181248,3815291
10/25/2019 0:00,14898643,4179943
10/26/2019 0:00,16240785,4685074
10/27/2019 0:00,16372895,4630528
10/28/2019 0:00,14360403,3904506
10/29/2019 0:00,14241108,3706900
10/30/2019 0:00,14144052,3774584
10/31/2019 0:00,14191772,3892561
11/1/2019 0:00,15220148,4468865
11/2/2019 0:00,16498502,4877840
11/3/2019 0:00,16571017,4813322
11/4/2019 0:00,14071585,3979202
11/5/2019 0:00,13713278,3775487
11/6/2019 0:00,13753283,3730948
11/7/2019 0:00,13470414,3704207
11/8/2019 0:00,14314924,4211432
11/9/2019 0:00,16367266,5035035
11/10/2019 0:00,16474830,4563534
11/11/2019 0:00,14292825,3999435
11/12/2019 0:00,13711497,3796421
11/13/2019 0:00,13765837,3718036
11/14/2019 0:00,13558993,3668965
11/15/2019 0:00,14301433,4151676
11/16/2019 0:00,16185850,4882973
11/17/2019 0:00,16402824,4815992
11/18/2019 0:00,13714821,3817445
11/19/2019 0:00,13734375,3769762
