Company,Date,Time
spectrum,2019-05-27,9:22 p.m.
spectrum,2019-05-27,9:22 p.m.
spectrum,2019-05-28,1:46 p.m.
spectrum,2019-05-28,1:46 p.m.
spectrum,2019-05-28,1:46 p.m.
spectrum,2019-05-29,12:22 a.m.
spectrum,2019-05-29,7:34 p.m.
spectrum,2019-05-29,7:34 p.m.
spectrum,2019-05-29,12:22 a.m.
spectrum,2019-05-29,12:22 a.m.
spectrum,2019-05-29,7:34 p.m.
spectrum,2019-05-30,8:54 p.m.
spectrum,2019-05-30,8:54 p.m.
spectrum,2019-05-30,8:54 p.m.
spectrum,2019-05-31,9:14 p.m.
spectrum,2019-05-31,9:14 p.m.
spectrum,2019-05-31,9:14 p.m.
spectrum,2019-06-01,9:06 p.m.
spectrum,2019-06-01,9:06 p.m.
spectrum,2019-06-01,9:06 p.m.
spectrum,2019-06-02,3:10 p.m.
spectrum,2019-06-02,3:10 p.m.
spectrum,2019-06-02,3:10 p.m.
spectrum,2019-06-03,8:34 p.m.
spectrum,2019-06-03,1:34 a.m.
spectrum,2019-06-03,8:34 p.m.
spectrum,2019-06-03,8:34 p.m.
spectrum,2019-06-03,1:34 a.m.
spectrum,2019-06-03,1:34 a.m.
spectrum,2019-06-04,12:30 p.m.
spectrum,2019-06-04,10:42 p.m.
spectrum,2019-06-04,10:42 p.m.
spectrum,2019-06-04,10:42 p.m.
spectrum,2019-06-04,12:30 p.m.
spectrum,2019-06-04,12:30 p.m.
spectrum,2019-06-05,2:10 p.m.
spectrum,2019-06-05,2:10 p.m.
spectrum,2019-06-05,2:10 p.m.
spectrum,2019-06-06,8:46 p.m.
spectrum,2019-06-06,12:14 a.m.
spectrum,2019-06-06,12:14 a.m.
spectrum,2019-06-06,8:46 p.m.
spectrum,2019-06-06,12:14 a.m.
spectrum,2019-06-06,8:46 p.m.
spectrum,2019-06-07,9:14 p.m.
spectrum,2019-06-07,9:14 p.m.
spectrum,2019-06-07,9:14 p.m.
spectrum,2019-06-08,11:02 a.m.
spectrum,2019-06-08,9:06 p.m.
spectrum,2019-06-08,11:02 a.m.
spectrum,2019-06-08,11:02 a.m.
spectrum,2019-06-08,9:06 p.m.
spectrum,2019-06-08,9:06 p.m.
spectrum,2019-06-09,2:46 p.m.
spectrum,2019-06-09,2:46 p.m.
spectrum,2019-06-09,2:46 p.m.
spectrum,2019-06-10,10:50 a.m.
spectrum,2019-06-10,10:50 a.m.
spectrum,2019-06-10,12:50 a.m.
spectrum,2019-06-10,8:54 p.m.
spectrum,2019-06-10,8:54 p.m.
spectrum,2019-06-10,12:50 a.m.
spectrum,2019-06-10,12:50 a.m.
spectrum,2019-06-10,10:50 a.m.
spectrum,2019-06-10,8:54 p.m.
spectrum,2019-06-11,12:26 p.m.
spectrum,2019-06-11,10:30 p.m.
spectrum,2019-06-11,12:26 p.m.
spectrum,2019-06-11,12:26 p.m.
spectrum,2019-06-11,10:30 p.m.
spectrum,2019-06-11,10:30 p.m.
spectrum,2019-06-12,8:14 p.m.
spectrum,2019-06-12,8:14 p.m.
spectrum,2019-06-12,8:14 p.m.
spectrum,2019-06-14,12:30 a.m.
spectrum,2019-06-14,12:30 a.m.
spectrum,2019-06-14,12:30 a.m.
spectrum,2019-06-16,5:38 p.m.
spectrum,2019-06-16,5:38 p.m.
spectrum,2019-06-16,5:38 p.m.
spectrum,2019-06-17,9:30 p.m.
spectrum,2019-06-17,3:38 a.m.
spectrum,2019-06-17,9:30 p.m.
spectrum,2019-06-17,3:38 a.m.
spectrum,2019-06-17,9:30 p.m.
spectrum,2019-06-17,3:38 a.m.
spectrum,2019-06-18,8:46 p.m.
spectrum,2019-06-18,8:46 p.m.
spectrum,2019-06-18,10:42 a.m.
spectrum,2019-06-18,10:42 a.m.
spectrum,2019-06-18,8:46 p.m.
spectrum,2019-06-18,10:42 a.m.
spectrum,2019-06-19,8:46 p.m.
spectrum,2019-06-19,8:46 p.m.
spectrum,2019-06-19,8:46 p.m.
spectrum,2019-06-20,10:26 p.m.
spectrum,2019-06-20,12:22 p.m.
spectrum,2019-06-20,10:26 p.m.
spectrum,2019-06-20,12:22 p.m.
spectrum,2019-06-20,10:26 p.m.
spectrum,2019-06-20,12:22 p.m.
spectrum,2019-06-21,9:06 p.m.
spectrum,2019-06-21,9:06 p.m.
spectrum,2019-06-21,9:06 p.m.
spectrum,2019-06-22,8:26 p.m.
spectrum,2019-06-22,8:26 p.m.
spectrum,2019-06-22,8:26 p.m.
spectrum,2019-06-23,9:10 p.m.
spectrum,2019-06-23,9:10 p.m.
spectrum,2019-06-23,9:10 p.m.
spectrum,2019-06-24,5:46 p.m.
spectrum,2019-06-24,7:46 a.m.
spectrum,2019-06-24,7:46 a.m.
spectrum,2019-06-24,5:46 p.m.
spectrum,2019-06-24,7:46 a.m.
spectrum,2019-06-24,5:46 p.m.
spectrum,2019-06-25,6:42 p.m.
spectrum,2019-06-25,3:46 a.m.
spectrum,2019-06-25,3:46 a.m.
spectrum,2019-06-25,6:42 p.m.
spectrum,2019-06-25,3:46 a.m.
spectrum,2019-06-25,6:42 p.m.
spectrum,2019-06-26,4:46 a.m.
spectrum,2019-06-26,4:06 p.m.
spectrum,2019-06-26,4:06 p.m.
spectrum,2019-06-26,4:46 a.m.
spectrum,2019-06-26,4:46 a.m.
spectrum,2019-06-26,4:06 p.m.
spectrum,2019-06-27,2:10 a.m.
spectrum,2019-06-27,4:26 p.m.
spectrum,2019-06-27,4:26 p.m.
spectrum,2019-06-27,2:10 a.m.
spectrum,2019-06-27,2:10 a.m.
spectrum,2019-06-27,4:26 p.m.
spectrum,2019-06-28,8:42 p.m.
spectrum,2019-06-28,8:42 p.m.
spectrum,2019-06-28,2:26 a.m.
spectrum,2019-06-28,8:42 p.m.
spectrum,2019-06-28,2:26 a.m.
spectrum,2019-06-28,2:26 a.m.
spectrum,2019-06-29,9:06 p.m.
spectrum,2019-06-29,9:06 p.m.
spectrum,2019-06-29,9:06 p.m.
spectrum,2019-06-30,3:10 p.m.
spectrum,2019-06-30,3:10 p.m.
spectrum,2019-06-30,3:10 p.m.
spectrum,2019-07-01,1:14 a.m.
spectrum,2019-07-01,1:14 a.m.
spectrum,2019-07-01,4:14 p.m.
spectrum,2019-07-01,4:14 p.m.
spectrum,2019-07-01,1:14 a.m.
spectrum,2019-07-01,4:14 p.m.
spectrum,2019-07-02,12:58 p.m.
spectrum,2019-07-02,2:30 a.m.
spectrum,2019-07-02,11:02 p.m.
spectrum,2019-07-02,11:02 p.m.
spectrum,2019-07-02,2:30 a.m.
spectrum,2019-07-02,12:58 p.m.
spectrum,2019-07-02,11:02 p.m.
spectrum,2019-07-02,12:58 p.m.
spectrum,2019-07-02,2:30 a.m.
spectrum,2019-07-03,9:18 p.m.
spectrum,2019-07-03,9:18 p.m.
spectrum,2019-07-03,11:14 a.m.
spectrum,2019-07-03,11:14 a.m.
spectrum,2019-07-03,9:18 p.m.
spectrum,2019-07-03,11:14 a.m.
spectrum,2019-07-04,6:22 p.m.
spectrum,2019-07-04,6:22 p.m.
spectrum,2019-07-04,6:22 p.m.
spectrum,2019-07-05,9:18 p.m.
spectrum,2019-07-05,9:18 p.m.
spectrum,2019-07-05,9:18 p.m.
spectrum,2019-07-06,8:22 p.m.
spectrum,2019-07-06,8:22 p.m.
spectrum,2019-07-06,8:22 p.m.
spectrum,2019-07-07,9:42 p.m.
spectrum,2019-07-07,9:42 p.m.
spectrum,2019-07-07,9:42 p.m.
spectrum,2019-07-08,5:50 p.m.
spectrum,2019-07-08,5:50 p.m.
spectrum,2019-07-08,5:50 p.m.
spectrum,2019-07-09,3:54 a.m.
spectrum,2019-07-09,3:54 a.m.
spectrum,2019-07-09,4:10 p.m.
spectrum,2019-07-09,3:54 a.m.
spectrum,2019-07-09,4:10 p.m.
spectrum,2019-07-09,4:10 p.m.
spectrum,2019-07-10,2:02 p.m.
spectrum,2019-07-10,2:10 a.m.
spectrum,2019-07-10,2:10 a.m.
spectrum,2019-07-10,2:02 p.m.
spectrum,2019-07-10,2:10 a.m.
spectrum,2019-07-10,2:02 p.m.
spectrum,2019-07-11,12:06 a.m.
spectrum,2019-07-11,10:06 a.m.
spectrum,2019-07-11,8:06 p.m.
spectrum,2019-07-11,8:06 p.m.
spectrum,2019-07-11,12:06 a.m.
spectrum,2019-07-11,8:06 p.m.
spectrum,2019-07-11,10:06 a.m.
spectrum,2019-07-11,10:06 a.m.
spectrum,2019-07-11,12:06 a.m.
spectrum,2019-07-12,9:34 p.m.
spectrum,2019-07-12,9:34 p.m.
spectrum,2019-07-12,9:34 p.m.
spectrum,2019-07-13,9:30 p.m.
spectrum,2019-07-13,9:30 p.m.
spectrum,2019-07-13,9:30 p.m.
spectrum,2019-07-14,9:02 p.m.
spectrum,2019-07-14,9:02 p.m.
spectrum,2019-07-14,9:02 p.m.
spectrum,2019-07-15,3:22 p.m.
spectrum,2019-07-15,3:22 p.m.
spectrum,2019-07-15,3:22 p.m.
spectrum,2019-07-16,8:30 p.m.
spectrum,2019-07-16,1:26 a.m.
spectrum,2019-07-16,8:30 p.m.
spectrum,2019-07-16,1:26 a.m.
spectrum,2019-07-16,8:30 p.m.
spectrum,2019-07-16,1:26 a.m.
spectrum,2019-07-17,1:42 p.m.
spectrum,2019-07-17,1:42 p.m.
spectrum,2019-07-17,1:42 p.m.
spectrum,2019-07-18,12:14 a.m.
spectrum,2019-07-18,8:22 p.m.
spectrum,2019-07-18,8:22 p.m.
spectrum,2019-07-18,12:14 a.m.
spectrum,2019-07-18,12:14 a.m.
spectrum,2019-07-18,8:22 p.m.
spectrum,2019-07-19,9:10 p.m.
spectrum,2019-07-19,9:10 p.m.
spectrum,2019-07-19,9:10 p.m.
spectrum,2019-07-20,12:42 p.m.
spectrum,2019-07-20,10:46 p.m.
spectrum,2019-07-20,10:46 p.m.
spectrum,2019-07-20,12:42 p.m.
spectrum,2019-07-20,10:46 p.m.
spectrum,2019-07-20,12:42 p.m.
spectrum,2019-07-21,9:14 a.m.
spectrum,2019-07-21,7:18 p.m.
spectrum,2019-07-21,9:14 a.m.
spectrum,2019-07-21,7:18 p.m.
spectrum,2019-07-21,7:18 p.m.
spectrum,2019-07-21,9:14 a.m.
spectrum,2019-07-22,7:30 p.m.
spectrum,2019-07-22,7:30 p.m.
spectrum,2019-07-22,7:30 p.m.
spectrum,2019-07-23,9:02 p.m.
spectrum,2019-07-23,9:02 p.m.
spectrum,2019-07-23,9:02 p.m.
spectrum,2019-07-24,9:18 p.m.
spectrum,2019-07-24,9:18 p.m.
spectrum,2019-07-24,9:18 p.m.
spectrum,2019-07-25,8:58 p.m.
spectrum,2019-07-25,8:58 p.m.
spectrum,2019-07-25,8:58 p.m.
spectrum,2019-07-26,9:30 p.m.
spectrum,2019-07-26,9:30 p.m.
spectrum,2019-07-26,9:30 p.m.
spectrum,2019-07-28,9:46 p.m.
spectrum,2019-07-28,9:46 p.m.
spectrum,2019-07-28,9:46 p.m.
spectrum,2019-07-29,8:54 p.m.
spectrum,2019-07-29,8:54 p.m.
spectrum,2019-07-29,8:54 p.m.
spectrum,2019-07-30,8:25 p.m.
spectrum,2019-07-30,8:25 p.m.
spectrum,2019-07-30,8:25 p.m.
spectrum,2019-07-31,9:09 p.m.
spectrum,2019-07-31,9:09 p.m.
spectrum,2019-07-31,9:09 p.m.
spectrum,2019-08-01,9:29 p.m.
spectrum,2019-08-01,11:25 a.m.
spectrum,2019-08-01,9:29 p.m.
spectrum,2019-08-01,11:25 a.m.
spectrum,2019-08-01,11:25 a.m.
spectrum,2019-08-01,9:29 p.m.
spectrum,2019-08-02,9:45 p.m.
spectrum,2019-08-02,9:45 p.m.
spectrum,2019-08-02,9:45 p.m.
spectrum,2019-08-05,12:13 a.m.
spectrum,2019-08-05,12:13 a.m.
spectrum,2019-08-05,12:13 a.m.
spectrum,2019-08-05,9:21 p.m.
spectrum,2019-08-05,9:21 p.m.
spectrum,2019-08-05,9:21 p.m.
spectrum,2019-08-06,9:01 p.m.
spectrum,2019-08-06,9:01 p.m.
spectrum,2019-08-06,9:01 p.m.
spectrum,2019-08-07,9:57 p.m.
spectrum,2019-08-07,9:57 p.m.
spectrum,2019-08-07,11:53 a.m.
spectrum,2019-08-07,11:53 a.m.
spectrum,2019-08-07,9:57 p.m.
spectrum,2019-08-07,11:53 a.m.
