Date,Players
10/7/2019,593696
10/8/2019,587908
10/9/2019,592077
10/10/2019,596661
10/11/2019,650945
10/12/2019,730551
10/13/2019,696199
10/14/2019,618794
10/15/2019,565809
10/16/2019,576760
10/17/2019,579182
10/18/2019,639583
10/19/2019,754909
10/20/2019,719599
10/21/2019,609697
10/22/2019,589634
10/23/2019,591211
10/24/2019,593837
10/25/2019,646260
10/26/2019,687657
10/27/2019,651330
10/28/2019,570898
10/29/2019,562221
10/30/2019,561445
10/31/2019,560330
11/1/2019,632716
11/2/2019,667826
11/3/2019,672470
11/4/2019,581586
11/5/2019,559428
11/6/2019,565340
11/7/2019,571773
11/8/2019,622400
11/9/2019,715036
11/10/2019,629632
11/11/2019,573425
11/12/2019,552527
11/13/2019,550375
11/14/2019,567136
11/15/2019,649848
11/16/2019,712500
11/17/2019,693021
11/18/2019,573863
11/19/2019,699297
11/20/2019,646993
11/21/2019,622363
11/22/2019,691596
11/23/2019,764438
11/24/2019,742946
11/25/2019,619277
11/26/2019,596910
11/27/2019,627368
11/28/2019,609396
11/29/2019,684870
11/30/2019,759412
12/1/2019,722402
12/2/2019,591367
12/3/2019,598239
12/4/2019,624813
12/5/2019,614239
12/6/2019,701035
12/7/2019,771640
12/8/2019,746357
12/9/2019,625454
12/10/2019,613617
12/11/2019,638294
12/12/2019,608913
12/13/2019,707912
12/14/2019,761448
12/15/2019,745263
12/16/2019,618872
12/17/2019,612331
12/18/2019,640425
12/19/2019,640917
12/20/2019,715562
12/21/2019,733293
12/22/2019,716067
12/23/2019,655944
12/24/2019,636030
12/25/2019,653216
12/26/2019,676008
12/27/2019,733416
12/28/2019,742771
12/29/2019,740118
12/30/2019,709943
12/31/2019,695220
1/1/2020,694327
1/2/2020,714555
1/3/2020,759329
1/4/2020,779054
1/5/2020,768693
1/6/2020,723301
1/7/2020,709537
1/8/2020,715930
1/9/2020,692362
1/10/2020,738802
1/11/2020,805733
1/12/2020,822490
1/13/2020,694511
1/14/2020,684222
1/15/2020,693126
1/16/2020,694151
1/17/2020,729182
1/18/2020,780679
1/19/2020,784392
1/20/2020,725101
1/21/2020,700650
1/22/2020,714086
1/23/2020,710041
1/24/2020,744747
1/25/2020,755927
1/26/2020,779615
1/27/2020,695110
1/28/2020,704919
1/29/2020,725786
1/30/2020,693848
1/31/2020,746299
2/1/2020,801127
2/2/2020,828642
2/3/2020,717757
2/4/2020,710622
2/5/2020,734315
2/6/2020,745212
2/7/2020,787521
2/8/2020,876575
2/9/2020,901681
2/10/2020,767824
2/11/2020,765911
2/12/2020,765364
2/13/2020,761042
2/14/2020,769965
2/15/2020,870940
2/16/2020,893811
2/17/2020,752432
2/18/2020,747465
2/19/2020,770785
2/20/2020,741022
2/21/2020,799293
2/22/2020,866684
2/23/2020,896092
2/24/2020,762739
2/25/2020,765376
2/26/2020,779423
2/27/2020,788179
2/28/2020,856801
2/29/2020,933748
3/1/2020,925990
3/2/2020,778860
3/3/2020,768562
3/4/2020,811344
3/5/2020,789769
3/6/2020,867924
3/7/2020,953051
3/8/2020,953114
3/9/2020,808581
3/10/2020,787841
3/11/2020,803004
3/12/2020,841468
3/13/2020,936750
3/14/2020,1007062
3/15/2020,1024845
3/16/2020,971220
3/17/2020,991675
3/18/2020,1003208
3/19/2020,1018690
3/20/2020,1060189
3/21/2020,1091858
3/22/2020,1102067
3/23/2020,1078859
3/24/2020,1079644
3/25/2020,1085157
3/26/2020,1093863
3/27/2020,1091740
3/28/2020,1080631
3/29/2020,1123002
3/30/2020,1138639
3/31/2020,1152459
4/1/2020,1226724
4/2/2020,1224247
4/3/2020,1191540
4/4/2020,1230947
4/5/2020,1189488
4/6/2020,1203825
4/7/2020,1193571
4/8/2020,1209154
4/9/2020,1241444
4/10/2020,1251665
4/11/2020,1271725
4/12/2020,1250565
4/13/2020,1267419
4/14/2020,1275055
4/15/2020,1276026
4/16/2020,1270409
4/17/2020,1301348
4/18/2020,1308963
4/19/2020,1275057
4/20/2020,1243058
4/21/2020,1247322
4/22/2020,1219736
4/23/2020,1200613
4/24/2020,1250167
4/25/2020,1229864
4/26/2020,1202791
4/27/2020,1169979
4/28/2020,1169370
4/29/2020,1207371
4/30/2020,1204257
5/1/2020,1197982
5/2/2020,1179111
5/3/2020,1177330
5/4/2020,1150445
5/5/2020,1110015
5/6/2020,1130904
5/7/2020,1084248
5/8/2020,1066098
