Company,Date,Time
spectrum,03/31/2020,12:17 p.m.
spectrum,03/31/2020,12:17 a.m.
spectrum,03/30/2020,1:53 p.m.
spectrum,03/30/2020,2:33 a.m.
spectrum,03/29/2020,4:33 p.m.
spectrum,03/28/2020,1:21 a.m.
spectrum,03/27/2020,1:25 p.m.
spectrum,03/27/2020,12:25 a.m.
spectrum,03/26/2020,11:45 a.m.
spectrum,03/26/2020,12:25 a.m.
spectrum,03/25/2020,1:29 p.m.
spectrum,03/25/2020,1:17 a.m.
spectrum,03/24/2020,12:37 a.m.
spectrum,03/22/2020,8:01 p.m.
spectrum,03/20/2020,12:29 a.m.
spectrum,03/19/2020,2:38 a.m.
spectrum,03/18/2020,4:34 p.m.
spectrum,03/18/2020,12:30 a.m.
spectrum,03/17/2020,1:30 a.m.
spectrum,03/13/2020,1:22 a.m.
spectrum,03/12/2020,3:18 a.m.
spectrum,03/06/2020,12:38 a.m.
spectrum,03/05/2020,12:22 a.m.
spectrum,03/04/2020,1:30 a.m.
spectrum,03/02/2020,6:02 p.m.
