Company,Date,Time
spectrum,04/30/2020,12:18 a.m.
spectrum,04/29/2020,10:42 a.m.
spectrum,04/29/2020,12:17 a.m.
spectrum,04/28/2020,2:09 a.m.
spectrum,04/27/2020,4:05 p.m.
spectrum,04/27/2020,12:25 a.m.
spectrum,04/25/2020,3:57 a.m.
spectrum,04/24/2020,12:24 a.m.
spectrum,04/23/2020,12:05 p.m.
spectrum,04/23/2020,12:17 a.m.
spectrum,04/22/2020,12:22 a.m.
spectrum,04/21/2020,12:22 a.m.
spectrum,04/20/2020,12:25 a.m.
spectrum,04/19/2020,3:45 a.m.
spectrum,04/18/2020,3:21 a.m.
spectrum,04/17/2020,12:25 a.m.
spectrum,04/15/2020,9:53 p.m.
spectrum,04/15/2020,10:13 a.m.
spectrum,04/14/2020,9:45 p.m.
spectrum,04/13/2020,8:21 p.m.
spectrum,04/13/2020,10:17 a.m.
spectrum,04/13/2020,12:17 a.m.
spectrum,04/10/2020,3:17 p.m.
spectrum,04/10/2020,12:09 a.m.
spectrum,04/09/2020,12:21 a.m.
spectrum,04/08/2020,12:17 a.m.
spectrum,04/07/2020,12:17 a.m.
spectrum,04/06/2020,12:17 a.m.
spectrum,04/03/2020,10:05 p.m.
spectrum,04/03/2020,12:25 a.m.
spectrum,04/02/2020,12:17 a.m.
spectrum,04/01/2020,12:25 a.m.
