Company,Date,Time
spectrum,09/30/2019,12:26 a.m.
spectrum,09/27/2019,12:21 a.m.
spectrum,09/26/2019,12:30 a.m.
spectrum,09/25/2019,12:22 a.m.
spectrum,09/24/2019,12:14 a.m.
spectrum,09/23/2019,12:34 a.m.
spectrum,09/20/2019,12:30 a.m.
spectrum,09/19/2019,12:30 a.m.
spectrum,09/18/2019,12:26 a.m.
spectrum,09/17/2019,12:22 a.m.
spectrum,09/15/2019,9:18 p.m.
spectrum,09/15/2019,3:34 a.m.
spectrum,09/12/2019,8:50 p.m.
spectrum,09/12/2019,4:58 a.m.
spectrum,09/11/2019,6:58 p.m.
spectrum,09/11/2019,12:30 a.m.
spectrum,09/10/2019,12:46 a.m.
spectrum,09/09/2019,12:22 a.m.
spectrum,09/06/2019,8:02 p.m.
spectrum,09/06/2019,12:13 a.m.
spectrum,09/05/2019,12:30 a.m.
spectrum,09/03/2019,9:30 p.m.
spectrum,09/01/2019,4:54 p.m.
