Company,Date,Time
spectrum,06/30/2019,3:10 p.m.
spectrum,06/29/2019,9:06 p.m.
spectrum,06/28/2019,8:42 p.m.
spectrum,06/28/2019,2:26 a.m.
spectrum,06/27/2019,4:26 p.m.
spectrum,06/27/2019,2:10 a.m.
spectrum,06/26/2019,4:06 p.m.
spectrum,06/26/2019,4:46 a.m.
spectrum,06/25/2019,6:42 p.m.
spectrum,06/25/2019,3:46 a.m.
spectrum,06/24/2019,5:46 p.m.
spectrum,06/24/2019,7:46 a.m.
spectrum,06/23/2019,9:10 p.m.
spectrum,06/22/2019,8:26 p.m.
spectrum,06/21/2019,9:06 p.m.
spectrum,06/20/2019,10:26 p.m.
spectrum,06/20/2019,12:22 p.m.
spectrum,06/19/2019,8:46 p.m.
spectrum,06/18/2019,8:46 p.m.
spectrum,06/18/2019,10:42 a.m.
spectrum,06/17/2019,9:30 p.m.
spectrum,06/17/2019,3:38 a.m.
spectrum,06/16/2019,5:38 p.m.
spectrum,06/14/2019,12:30 a.m.
spectrum,06/12/2019,8:14 p.m.
spectrum,06/11/2019,10:30 p.m.
spectrum,06/11/2019,12:26 p.m.
spectrum,06/10/2019,8:54 p.m.
spectrum,06/10/2019,10:50 a.m.
spectrum,06/10/2019,12:50 a.m.
spectrum,06/09/2019,2:46 p.m.
spectrum,06/08/2019,9:06 p.m.
spectrum,06/08/2019,11:02 a.m.
spectrum,06/07/2019,9:14 p.m.
spectrum,06/06/2019,8:46 p.m.
spectrum,06/06/2019,12:14 a.m.
spectrum,06/05/2019,2:10 p.m.
spectrum,06/04/2019,10:42 p.m.
spectrum,06/04/2019,12:30 p.m.
spectrum,06/03/2019,8:34 p.m.
spectrum,06/03/2019,1:34 a.m.
spectrum,06/02/2019,3:10 p.m.
spectrum,06/01/2019,9:06 p.m.
